채널,상품명,상품,주차,매출,수량
옥션,클라리온 루테인 15g 30캡슐 6개 눈건강,루테인,1주차,23890.0,1.0
옥션,클라리온 밀크씨슬 비타민B 24g 30정 1개 간영양제,밀크씨슬,1주차,7980.0,2.0
옥션,클라리온 밀크씨슬 비타민B 24g 30정 1개 간영양제,밀크씨슬,3주차,19950.0,5.0
옥션,클라리온 엠에스엠 MSM 54g 60캡슐 1개 비타민D 관절 연골,MSM,1주차,15960.0,4.0
옥션,클라리온 엠에스엠 MSM 54g 60캡슐 1개 비타민D 관절 연골,MSM,2주차,23940.0,6.0
옥션,클라리온 엠에스엠 MSM 54g 60캡슐 6개 비타민D 관절 연골,MSM,2주차,23890.0,1.0
옥션,클라리온 유기농 올리브오일 30g 30캡슐 5개 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,2주차,39800.0,2.0
옥션,클라리온 유기농 올리브오일 30g 30캡슐 5개 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,3주차,19900.0,1.0
옥션,클라리온 유기농 올리브오일 30g 30캡슐 6개 올리브캡슐 스페인산 냉압착 저산도 엑스트라버진,올리브오일,1주차,23890.0,1.0
옥션,클라리온 종합 멀티비타민 24g 30정 1개 미네랄,멀티비타민,1주차,19950.0,5.0
옥션,클라리온 종합 멀티비타민 24g 30정 1개 미네랄,멀티비타민,3주차,15960.0,4.0
옥션,클라리온 칼마디아K 40.5g 30정 1개 칼슘 마그네슘 비타민D,칼마디아K,1주차,3990.0,1.0
옥션,클라리온 코엔자임 Q10 코큐텐 15g 30캡슐 1개 항산화 혈압건강 비타민E 셀렌,코엔자임Q10,1주차,3990.0,1.0
옥션,클라리온 코엔자임 Q10 코큐텐 15g 30캡슐 3개 항산화 혈압건강 비타민E 셀렌,코엔자임Q10,1주차,23900.0,2.0
옥션,클라리온 코엔자임 Q10 코큐텐 15g 30캡슐 3개 항산화 혈압건강 비타민E 셀렌,코엔자임Q10,2주차,35850.0,3.0
옥션,클라리온 코엔자임 Q10 코큐텐 15g 30캡슐 3개 항산화 혈압건강 비타민E 셀렌,코엔자임Q10,3주차,11950.0,1.0
옥션,클라리온 코엔자임 Q10 코큐텐 15g 30캡슐 5개 항산화 혈압건강 비타민E 셀렌,코엔자임Q10,2주차,119400.0,6.0
